,지역,2018 공실률,2019공실률,평균
0,광화문,7.6,7.4,7.5
1,동대문,8.4,10.3,9.350000000000001
2,명동,9.5,9.2,9.35
3,종로,19,10.6,14.8
4,충무로,20.9,19.1,20.0
5,강남대로,18.5,9.5,14.0
6,논현역,2.6,4.7,3.6500000000000004
7,도산대로,7.9,11.1,9.5
8,서초,10.6,8.2,9.399999999999999
9,테헤란로,6.5,6.9,6.7
10,공덕역,5.8,7,6.4
11,여의도,12.7,11,11.85
12,영등포,11.8,12.9,12.350000000000001
13,목동,20.9,13.2,17.049999999999997
14,사당,4.8,5,4.9
15,용산,17.5,6.8,12.15
16,잠실,12.2,12.2,12.2
17,장안동,12.4,12.8,12.600000000000001
18,천호,12.6,14.8,13.7
19,홍대합정,4.1,4.9,4.5
20,화곡,20.8,19.9,20.35
